Invoice ID,Branch,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Sales,Date,Time,cogs,gross income,Rating,Payment_Credit card,Payment_Ewallet,City_Naypyitaw,City_Yangon
765-26-6951,Alex,0,Female,Sports and travel,72.61,6,21.783,457.443,2019-01-01,,435.66,21.783,6.9,True,False,False,True
329-62-1586,Alex,0,Female,Food and beverages,54.67,3,8.2005,172.2105,2019-01-21,,164.01,8.2005,8.6,True,False,False,True
319-50-3348,Cairo,0,Female,Home and lifestyle,40.3,2,4.03,84.63,2019-03-11,,80.6,4.03,4.4,False,True,False,False
300-71-4605,Giza,0,Female,Electronic accessories,86.04,5,21.51,451.71,2019-02-25,,430.2,21.51,4.8,False,True,True,False
371-85-5789,Cairo,0,Female,Health and beauty,87.98,3,13.197,277.137,2019-03-05,,263.94,13.197,5.1,False,True,False,False
273-16-6619,Cairo,0,Female,Home and lifestyle,33.2,2,3.32,69.72,2019-03-15,,66.4,3.32,4.4,True,False,False,False
636-48-8204,Alex,0,Female,Electronic accessories,34.56,5,8.64,181.44,2019-02-17,,172.8,8.64,9.9,False,True,False,True
549-59-1358,Alex,0,Female,Sports and travel,88.63,3,13.2945,279.1845,2019-03-02,,265.89,13.2945,6.0,False,True,False,True
227-03-5010,Alex,0,Female,Home and lifestyle,52.59,8,21.036,441.756,2019-03-22,,420.72,21.036,8.5,True,False,False,True
649-29-6775,Cairo,0,Female,Fashion accessories,33.52,1,1.676,35.196,2019-02-08,,33.52,1.676,6.7,False,False,False,False
189-17-4241,Alex,0,Female,Fashion accessories,87.67,2,8.767,184.107,2019-03-10,,175.34,8.767,7.7,True,False,False,True
145-94-9061,Cairo,0,Female,Food and beverages,88.36,5,22.09,463.89,2019-01-25,,441.8,22.09,9.6,False,False,False,False
848-62-7243,Alex,0,Female,Health and beauty,24.89,9,11.2005,235.2105,2019-03-15,,224.01,11.2005,7.4,False,False,False,True
871-79-8483,Cairo,0,Female,Fashion accessories,94.13,5,23.5325,494.1825,2019-02-25,,470.65,23.5325,4.8,True,False,False,False
149-71-6266,Cairo,0,Female,Sports and travel,78.07,9,35.1315,737.7615,2019-01-28,,702.63,35.1315,4.5,False,False,False,False
640-49-2076,Cairo,0,Female,Sports and travel,83.78,8,33.512,703.752,2019-01-10,,670.24,33.512,5.1,False,False,False,False
595-11-5460,Alex,0,Female,Health and beauty,96.58,2,9.658,202.818,2019-03-15,,193.16,9.658,5.1,True,False,False,True
183-56-6882,Giza,0,Female,Food and beverages,99.42,4,19.884,417.564,2019-02-06,,397.68,19.884,7.5,False,True,True,False
232-16-2483,Giza,0,Female,Sports and travel,68.12,1,3.406,71.526,2019-01-07,,68.12,3.406,6.8,False,True,True,False
129-29-8530,Alex,0,Female,Sports and travel,62.62,5,15.655,328.755,2019-03-10,,313.1,15.655,7.0,False,True,False,True
272-65-1806,Alex,0,Female,Electronic accessories,60.88,9,27.396,575.316,2019-01-15,,547.92,27.396,4.7,False,True,False,True
333-73-7901,Giza,0,Female,Health and beauty,54.92,8,21.968,461.328,2019-03-23,,439.36,21.968,7.6,False,True,True,False
777-82-7220,Cairo,0,Female,Home and lifestyle,30.12,8,12.048,253.008,2019-03-03,,240.96,12.048,7.7,False,False,False,False
280-35-5823,Cairo,0,Female,Home and lifestyle,86.72,1,4.336,91.056,2019-01-17,,86.72,4.336,7.9,False,True,False,False
554-53-8700,Giza,0,Female,Home and lifestyle,56.11,2,5.611,117.831,2019-02-02,,112.22,5.611,6.3,False,False,True,False
354-25-5821,Cairo,0,Female,Sports and travel,69.12,6,20.736,435.456,2019-02-08,,414.72,20.736,5.6,False,False,False,False
228-96-1411,Giza,0,Female,Food and beverages,98.7,8,39.48,829.08,2019-03-04,,789.6,39.48,7.6,False,False,True,False
617-15-4209,Giza,0,Female,Health and beauty,15.37,2,1.537,32.277,2019-03-16,,30.74,1.537,7.2,False,False,True,False
132-32-9879,Cairo,0,Female,Electronic accessories,93.96,4,18.792,394.632,2019-03-09,,375.84,18.792,9.5,False,False,False,False
370-41-7321,Cairo,0,Female,Health and beauty,56.69,9,25.5105,535.7205,2019-02-27,,510.21,25.5105,8.4,True,False,False,False
727-46-3608,Cairo,0,Female,Food and beverages,20.01,9,9.0045,189.0945,2019-02-06,,180.09,9.0045,4.1,False,True,False,False
669-54-1719,Cairo,0,Female,Electronic accessories,18.93,6,5.679,119.259,2019-02-10,,113.58,5.679,8.1,True,False,False,False
574-22-5561,Giza,0,Female,Fashion accessories,82.63,10,41.315,867.615,2019-03-19,,826.3,41.315,7.9,False,True,True,False
326-78-5178,Giza,0,Female,Food and beverages,91.4,7,31.99,671.79,2019-02-03,,639.8,31.99,9.5,False,False,True,False
162-48-8011,Alex,0,Female,Food and beverages,44.59,5,11.1475,234.0975,2019-02-10,,222.95,11.1475,8.5,False,False,False,True
616-24-2851,Cairo,0,Female,Fashion accessories,17.87,4,3.574,75.054,2019-03-22,,71.48,3.574,6.5,False,True,False,False
778-71-5554,Giza,0,Female,Fashion accessories,15.43,1,0.7715,16.2015,2019-01-25,,15.43,0.7715,6.1,True,False,True,False
242-55-6721,Cairo,0,Female,Home and lifestyle,16.16,2,1.616,33.936,2019-03-07,,32.32,1.616,6.5,False,True,False,False
399-46-5918,Giza,0,Female,Electronic accessories,85.98,8,34.392,722.232,2019-02-28,,687.84,34.392,8.2,False,False,True,False
106-35-6779,Alex,0,Female,Home and lifestyle,44.34,2,4.434,93.114,2019-03-27,,88.68,4.434,5.8,False,False,False,True
635-40-6220,Alex,0,Female,Health and beauty,89.6,8,35.84,752.64,2019-02-07,,716.8,35.84,6.6,False,True,False,True
817-48-8732,Alex,0,Female,Home and lifestyle,72.35,10,36.175,759.675,2019-01-20,,723.5,36.175,5.4,False,False,False,True
120-06-4233,Giza,0,Female,Electronic accessories,30.61,6,9.183,192.843,2019-03-12,,183.66,9.183,9.3,False,False,True,False
285-68-5083,Giza,0,Female,Sports and travel,24.74,3,3.711,77.931,2019-02-15,,74.22,3.711,10.0,True,False,True,False
803-83-5989,Giza,0,Female,Home and lifestyle,55.73,6,16.719,351.099,2019-02-24,,334.38,16.719,7.0,False,True,True,False
347-34-2234,Cairo,0,Female,Sports and travel,55.07,9,24.7815,520.4115,2019-02-03,,495.63,24.7815,10.0,False,True,False,False
199-75-8169,Alex,0,Female,Sports and travel,15.81,10,7.905,166.005,2019-03-06,,158.1,7.905,8.6,True,False,False,True
853-23-2453,Cairo,0,Female,Health and beauty,75.74,4,15.148,318.108,2019-02-14,,302.96,15.148,7.6,False,False,False,False
877-22-3308,Alex,0,Female,Health and beauty,15.87,10,7.935,166.635,2019-03-13,,158.7,7.935,5.8,False,False,False,True
838-78-4295,Giza,0,Female,Health and beauty,33.47,2,3.347,70.287,2019-02-10,,66.94,3.347,6.7,False,True,True,False
109-28-2512,Cairo,0,Female,Fashion accessories,97.61,6,29.283,614.943,2019-01-07,,585.66,29.283,9.9,False,True,False,False
232-11-3025,Alex,0,Female,Sports and travel,78.77,10,39.385,827.085,2019-01-24,,787.7,39.385,6.4,False,False,False,True
382-03-4532,Alex,0,Female,Health and beauty,18.33,1,0.9165,19.2465,2019-02-02,,18.33,0.9165,4.3,False,False,False,True
393-65-2792,Giza,0,Female,Food and beverages,89.48,10,44.74,939.54,2019-01-06,,894.8,44.74,9.6,True,False,True,False
796-12-2025,Giza,0,Female,Fashion accessories,62.12,10,31.06,652.26,2019-02-11,,621.2,31.06,5.9,False,False,True,False
510-95-6347,Cairo,0,Female,Food and beverages,48.52,3,7.278,152.838,2019-03-05,,145.56,7.278,4.0,False,True,False,False
841-35-6630,Giza,0,Female,Electronic accessories,75.91,6,22.773,478.233,2019-03-09,,455.46,22.773,8.7,False,False,True,False
287-21-9091,Alex,0,Female,Home and lifestyle,74.67,9,33.6015,705.6315,2019-01-22,,672.03,33.6015,9.4,False,True,False,True
732-94-0499,Giza,0,Female,Electronic accessories,41.65,10,20.825,437.325,2019-01-13,,416.5,20.825,5.4,True,False,True,False
263-10-3913,Giza,0,Female,Fashion accessories,49.04,9,22.068,463.428,2019-01-09,,441.36,22.068,8.6,True,False,True,False
381-20-0914,Alex,0,Female,Fashion accessories,20.01,9,9.0045,189.0945,2019-01-12,,180.09,9.0045,5.7,True,False,False,True
829-49-1914,Giza,0,Female,Food and beverages,78.31,10,39.155,822.255,2019-03-05,,783.1,39.155,6.6,False,True,True,False
756-01-7507,Giza,0,Female,Health and beauty,20.38,5,5.095,106.995,2019-01-22,,101.9,5.095,6.0,False,False,True,False
870-72-4431,Giza,0,Female,Health and beauty,99.19,6,29.757,624.897,2019-01-21,,595.14,29.757,5.5,True,False,True,False
847-38-7188,Cairo,0,Female,Food and beverages,96.68,3,14.502,304.542,2019-01-26,,290.04,14.502,6.4,False,True,False,False
480-63-2856,Giza,0,Female,Food and beverages,19.25,8,7.7,161.7,2019-01-23,,154.0,7.7,6.6,False,True,True,False
787-56-0757,Giza,0,Female,Food and beverages,80.36,4,16.072,337.512,2019-02-23,,321.44,16.072,8.3,True,False,True,False
360-39-5055,Giza,0,Female,Sports and travel,48.91,5,12.2275,256.7775,2019-03-09,,244.55,12.2275,6.6,False,False,True,False
730-50-9884,Giza,0,Female,Sports and travel,83.06,7,29.071,610.491,2019-03-05,,581.42,29.071,4.0,False,True,True,False
362-58-8315,Giza,0,Female,Fashion accessories,76.52,5,19.13,401.73,2019-03-25,,382.6,19.13,9.9,False,False,True,False
633-44-8566,Alex,0,Female,Food and beverages,49.38,7,17.283,362.943,2019-03-27,,345.66,17.283,7.3,True,False,False,True
504-35-8843,Alex,0,Female,Sports and travel,42.47,1,2.1235,44.5935,2019-01-02,,42.47,2.1235,5.7,False,False,False,True
318-68-5053,Cairo,0,Female,Health and beauty,76.99,6,23.097,485.037,2019-02-27,,461.94,23.097,6.1,False,False,False,False
565-80-5980,Giza,0,Female,Home and lifestyle,47.38,4,9.476,198.996,2019-01-23,,189.52,9.476,7.1,False,False,True,False
225-32-0908,Giza,0,Female,Sports and travel,44.86,10,22.43,471.03,2019-01-26,,448.6,22.43,8.2,False,True,True,False
873-51-0671,Alex,0,Female,Sports and travel,21.98,7,7.693,161.553,2019-01-10,,153.86,7.693,5.1,False,True,False,True
152-08-9985,Cairo,0,Female,Health and beauty,64.36,9,28.962,608.202,2019-03-12,,579.24,28.962,8.6,True,False,False,False
512-91-0811,Giza,0,Female,Health and beauty,89.75,1,4.4875,94.2375,2019-02-06,,89.75,4.4875,6.6,True,False,True,False
594-34-4444,Alex,0,Female,Electronic accessories,97.16,1,4.858,102.018,2019-03-08,,97.16,4.858,7.2,False,True,False,True
766-85-7061,Cairo,0,Female,Health and beauty,87.87,10,43.935,922.635,2019-03-29,,878.7,43.935,5.1,False,True,False,False
871-39-9221,Giza,0,Female,Electronic accessories,12.45,6,3.735,78.435,2019-02-09,,74.7,3.735,4.1,False,False,True,False
865-92-6136,Alex,0,Female,Food and beverages,52.75,3,7.9125,166.1625,2019-03-23,,158.25,7.9125,9.3,False,True,False,True
733-01-9107,Cairo,0,Female,Home and lifestyle,82.7,6,24.81,521.01,2019-03-05,,496.2,24.81,7.4,False,False,False,False
163-56-7055,Giza,0,Female,Fashion accessories,48.71,1,2.4355,51.1455,2019-03-26,,48.71,2.4355,4.1,False,False,True,False
189-98-2939,Giza,0,Female,Fashion accessories,78.55,9,35.3475,742.2975,2019-03-01,,706.95,35.3475,7.2,False,False,True,False
551-21-3069,Giza,0,Female,Electronic accessories,23.07,9,10.3815,218.0115,2019-02-01,,207.63,10.3815,4.9,False,False,True,False
212-62-1842,Alex,0,Female,Food and beverages,58.26,6,17.478,367.038,2019-03-28,,349.56,17.478,9.9,False,False,False,True
716-39-1409,Cairo,0,Female,Health and beauty,30.35,7,10.6225,223.0725,2019-03-19,,212.45,10.6225,8.0,False,False,False,False
704-48-3927,Alex,0,Female,Electronic accessories,88.67,10,44.335,931.035,2019-01-12,,886.7,44.335,7.3,False,True,False,True
628-34-3388,Giza,0,Female,Fashion accessories,27.38,6,8.214,172.494,2019-01-05,,164.28,8.214,7.9,True,False,True,False
630-74-5166,Alex,0,Female,Sports and travel,62.13,6,18.639,391.419,2019-03-22,,372.78,18.639,7.4,False,False,False,True
588-01-7461,Giza,0,Female,Food and beverages,33.98,9,15.291,321.111,2019-03-24,,305.82,15.291,4.2,False,False,True,False
861-77-0145,Giza,0,Female,Electronic accessories,81.97,10,40.985,860.685,2019-03-03,,819.7,40.985,9.2,False,False,True,False
479-26-8945,Cairo,0,Female,Sports and travel,16.49,2,1.649,34.629,2019-02-05,,32.98,1.649,4.6,False,True,False,False
210-67-5886,Giza,0,Female,Health and beauty,98.21,3,14.7315,309.3615,2019-02-05,,294.63,14.7315,7.8,True,False,True,False
227-78-1148,Cairo,0,Female,Fashion accessories,72.84,7,25.494,535.374,2019-02-15,,509.88,25.494,8.4,False,False,False,False
645-44-1170,Alex,0,Female,Home and lifestyle,58.07,9,26.1315,548.7615,2019-01-19,,522.63,26.1315,4.3,False,True,False,True
237-01-6122,Giza,0,Female,Home and lifestyle,80.79,9,36.3555,763.4655,2019-02-01,,727.11,36.3555,9.5,True,False,True,False
225-98-1496,Giza,0,Female,Fashion accessories,27.02,3,4.053,85.113,2019-03-02,,81.06,4.053,7.1,True,False,True,False
291-32-1427,Cairo,0,Female,Fashion accessories,21.94,5,5.485,115.185,2019-03-05,,109.7,5.485,5.3,False,True,False,False
659-65-8956,Cairo,0,Female,Fashion accessories,51.36,1,2.568,53.928,2019-01-16,,51.36,2.568,5.2,False,True,False,False
642-32-2990,Alex,0,Female,Food and beverages,10.96,10,5.48,115.08,2019-02-02,,109.6,5.48,6.0,False,True,False,True
378-24-2715,Cairo,0,Female,Home and lifestyle,53.44,2,5.344,112.224,2019-01-20,,106.88,5.344,4.1,False,True,False,False
638-60-7125,Alex,0,Female,Electronic accessories,99.56,8,39.824,836.304,2019-02-14,,796.48,39.824,5.2,True,False,False,True
659-36-1684,Giza,0,Female,Sports and travel,57.12,7,19.992,419.832,2019-01-12,,399.84,19.992,6.5,True,False,True,False
219-22-9386,Cairo,0,Female,Sports and travel,99.96,9,44.982,944.622,2019-03-09,,899.64,44.982,4.2,True,False,False,False
336-78-2147,Giza,0,Female,Home and lifestyle,63.91,8,25.564,536.844,2019-03-13,,511.28,25.564,4.6,True,False,True,False
268-27-6179,Cairo,0,Female,Fashion accessories,56.47,8,22.588,474.348,2019-03-09,,451.76,22.588,7.3,False,True,False,False
668-90-8900,Alex,0,Female,Home and lifestyle,93.69,7,32.7915,688.6215,2019-03-10,,655.83,32.7915,4.5,True,False,False,True
870-54-3162,Alex,0,Female,Sports and travel,32.25,5,8.0625,169.3125,2019-01-27,,161.25,8.0625,9.0,False,False,False,True
189-08-9157,Giza,0,Female,Fashion accessories,31.73,9,14.2785,299.8485,2019-01-08,,285.57,14.2785,5.9,True,False,True,False
663-86-9076,Giza,0,Female,Food and beverages,68.54,8,27.416,575.736,2019-01-08,,548.32,27.416,8.5,False,True,True,False
549-84-7482,Cairo,0,Female,Sports and travel,90.28,9,40.626,853.146,2019-02-08,,812.52,40.626,7.2,False,True,False,False
191-10-6171,Cairo,1,Female,Fashion accessories,39.62,7,13.867,291.207,2019-01-25,,277.34,13.867,7.5,False,False,False,False
802-70-5316,Alex,0,Female,Sports and travel,92.13,6,27.639,580.419,2019-03-06,,552.78,27.639,8.3,False,False,False,True
695-51-0018,Cairo,1,Female,Sports and travel,34.84,4,6.968,146.328,2019-02-10,,139.36,6.968,7.4,False,False,False,False
590-83-4591,Cairo,0,Female,Electronic accessories,87.45,6,26.235,550.935,2019-02-17,,524.7,26.235,8.8,True,False,False,False
483-71-1164,Giza,1,Female,Health and beauty,81.3,6,24.39,512.19,2019-03-08,,487.8,24.39,5.3,False,True,True,False
597-78-7908,Giza,1,Female,Fashion accessories,90.22,3,13.533,284.193,2019-02-18,,270.66,13.533,6.2,False,False,True,False
700-81-1757,Alex,1,Female,Electronic accessories,26.31,5,6.5775,138.1275,2019-01-18,,131.55,6.5775,8.8,True,False,False,True
354-39-5160,Alex,0,Female,Home and lifestyle,34.42,6,10.326,216.846,2019-02-18,,206.52,10.326,9.8,False,False,False,True
241-72-9525,Cairo,1,Female,Sports and travel,51.91,10,25.955,545.055,2019-02-16,,519.1,25.955,8.2,False,False,False,False
575-30-8091,Alex,1,Female,Sports and travel,72.5,8,29.0,609.0,2019-03-16,,580.0,29.0,9.2,False,True,False,True
731-81-9469,Giza,0,Female,Sports and travel,89.8,10,44.9,942.9,2019-01-23,,898.0,44.9,5.4,True,False,True,False
280-17-4359,Giza,0,Male,Health and beauty,90.5,10,45.25,950.25,2019-01-25,,905.0,45.25,8.1,False,False,True,False
338-65-2210,Giza,0,Female,Health and beauty,68.6,10,34.3,720.3,2019-02-05,,686.0,34.3,9.1,False,False,True,False
488-25-4221,Giza,0,Female,Food and beverages,30.41,1,1.5205,31.9305,2019-02-22,,30.41,1.5205,8.4,True,False,True,False
239-10-7476,Alex,1,Female,Home and lifestyle,77.95,6,23.385,491.085,2019-01-21,,467.7,23.385,8.0,False,True,False,True
458-41-1477,Giza,1,Female,Health and beauty,46.26,6,13.878,291.438,2019-03-08,,277.56,13.878,9.5,True,False,True,False
685-64-1609,Alex,0,Female,Fashion accessories,30.14,10,15.07,316.47,2019-02-10,,301.4,15.07,9.2,False,True,False,True
568-90-5112,Giza,1,Male,Health and beauty,66.14,4,13.228,277.788,2019-03-19,,264.56,13.228,5.6,True,False,True,False
262-47-2794,Cairo,0,Male,Home and lifestyle,71.86,8,28.744,603.624,2019-03-06,,574.88,28.744,6.2,True,False,False,False
238-49-0436,Alex,1,Male,Health and beauty,32.46,8,12.984,272.664,2019-03-27,,259.68,12.984,4.9,True,False,False,True
608-96-3517,Cairo,0,Female,Fashion accessories,91.54,4,18.308,384.468,2019-03-23,,366.16,18.308,4.8,True,False,False,False
584-86-7256,Giza,0,Male,Sports and travel,34.56,7,12.096,254.016,2019-03-11,,241.92,12.096,7.3,True,False,True,False
746-94-0204,Alex,1,Male,Fashion accessories,83.24,9,37.458,786.618,2019-01-29,,749.16,37.458,7.4,True,False,False,True
214-17-6927,Giza,1,Female,Food and beverages,16.48,6,4.944,103.824,2019-02-07,,98.88,4.944,9.9,False,True,True,False
400-89-4171,Giza,1,Female,Sports and travel,80.97,8,32.388,680.148,2019-01-28,,647.76,32.388,9.3,False,False,True,False
782-95-9291,Alex,0,Male,Food and beverages,92.29,5,23.0725,484.5225,2019-02-20,,461.45,23.0725,9.0,True,False,False,True
279-74-2924,Cairo,0,Male,Electronic accessories,72.17,1,3.6085,75.7785,2019-01-04,,72.17,3.6085,6.1,False,False,False,False
307-85-2293,Cairo,1,Male,Home and lifestyle,50.28,5,12.57,263.97,2019-03-07,,251.4,12.57,9.7,False,True,False,False
743-04-1105,Cairo,0,Male,Health and beauty,97.22,9,43.749,918.729,2019-03-30,,874.98,43.749,6.0,False,True,False,False
423-57-2993,Cairo,1,Male,Sports and travel,93.39,6,28.017,588.357,2019-03-27,,560.34,28.017,10.0,False,True,False,False
894-41-5205,Giza,1,Female,Food and beverages,43.18,8,17.272,362.712,2019-01-19,,345.44,17.272,8.3,True,False,True,False
275-28-0149,Alex,1,Male,Sports and travel,63.69,1,3.1845,66.8745,2019-02-25,,63.69,3.1845,6.0,False,False,False,True
101-17-6199,Alex,1,Male,Food and beverages,45.79,7,16.0265,336.5565,2019-03-13,,320.53,16.0265,7.0,True,False,False,True
423-80-0988,Giza,1,Male,Sports and travel,76.4,2,7.64,160.44,2019-01-30,,152.8,7.64,6.5,False,True,True,False
548-46-9322,Cairo,1,Male,Food and beverages,39.9,10,19.95,418.95,2019-02-20,,399.0,19.95,5.9,True,False,False,False
505-02-0892,Cairo,0,Male,Health and beauty,42.57,8,17.028,357.588,2019-02-25,,340.56,17.028,5.6,False,True,False,False
234-65-2137,Giza,1,Male,Home and lifestyle,95.58,10,47.79,1003.59,2019-01-16,,955.8,47.79,4.8,False,False,True,False
687-47-8271,Alex,1,Male,Fashion accessories,98.98,10,49.49,1039.29,2019-02-08,,989.8,49.49,8.7,True,False,False,True
796-32-9050,Alex,1,Male,Food and beverages,51.28,6,15.384,323.064,2019-01-19,,307.68,15.384,6.5,False,False,False,True
105-31-1824,Alex,0,Male,Sports and travel,69.52,7,24.332,510.972,2019-02-01,,486.64,24.332,8.5,True,False,False,True
249-42-3782,Alex,1,Male,Health and beauty,70.01,5,17.5025,367.5525,2019-01-03,,350.05,17.5025,5.5,False,True,False,True
316-55-4634,Cairo,0,Male,Food and beverages,80.05,5,20.0125,420.2625,2019-01-26,,400.25,20.0125,9.4,True,False,False,False
733-33-4967,Giza,1,Male,Electronic accessories,20.85,8,8.34,175.14,2019-03-03,,166.8,8.34,6.3,False,False,True,False
608-27-6295,Cairo,0,Male,Electronic accessories,52.89,6,15.867,333.207,2019-01-19,,317.34,15.867,9.8,True,False,False,False
414-12-7047,Cairo,1,Male,Food and beverages,19.79,8,7.916,166.236,2019-01-18,,158.32,7.916,8.7,False,True,False,False
827-26-2100,Alex,0,Male,Home and lifestyle,33.84,9,15.228,319.788,2019-03-21,,304.56,15.228,8.8,False,True,False,True
175-54-2529,Alex,0,Male,Food and beverages,22.17,8,8.868,186.228,2019-03-03,,177.36,8.868,9.6,True,False,False,True
139-52-2867,Giza,1,Female,Fashion accessories,22.51,7,7.8785,165.4485,2019-02-13,,157.57,7.8785,4.8,True,False,True,False
407-63-8975,Alex,1,Male,Food and beverages,73.88,6,22.164,465.444,2019-03-23,,443.28,22.164,4.4,False,True,False,True
342-65-4817,Giza,0,Male,Health and beauty,86.8,3,13.02,273.42,2019-01-28,,260.4,13.02,9.9,False,True,True,False
130-98-8941,Giza,1,Male,Fashion accessories,64.26,7,22.491,472.311,2019-02-09,,449.82,22.491,5.7,False,False,True,False
434-83-9547,Giza,0,Male,Food and beverages,38.47,8,15.388,323.148,2019-01-23,,307.76,15.388,7.7,False,False,True,False
851-28-6367,Alex,0,Male,Sports and travel,15.5,10,7.75,162.75,2019-03-23,,155.0,7.75,8.0,False,True,False,True
824-88-3614,Giza,1,Male,Health and beauty,34.31,8,13.724,288.204,2019-01-25,,274.48,13.724,5.7,False,True,True,False
586-25-0848,Alex,1,Female,Sports and travel,12.34,7,4.319,90.699,2019-03-04,,86.38,4.319,6.7,True,False,False,True
895-66-0685,Cairo,0,Male,Food and beverages,18.08,3,2.712,56.952,2019-03-05,,54.24,2.712,8.0,False,True,False,False
305-14-0245,Cairo,0,Female,Home and lifestyle,94.49,8,37.796,793.716,2019-03-03,,755.92,37.796,7.5,False,True,False,False
732-04-5373,Cairo,0,Male,Home and lifestyle,46.47,4,9.294,195.174,2019-02-08,,185.88,9.294,7.0,False,False,False,False
400-60-7251,Alex,1,Male,Home and lifestyle,74.07,1,3.7035,77.7735,2019-02-10,,74.07,3.7035,9.9,False,True,False,True
593-65-1552,Giza,1,Female,Home and lifestyle,69.81,4,13.962,293.202,2019-01-28,,279.24,13.962,5.9,True,False,True,False
284-34-9626,Cairo,1,Female,Home and lifestyle,77.04,3,11.556,242.676,2019-02-11,,231.12,11.556,7.2,True,False,False,False
437-58-8131,Cairo,1,Female,Fashion accessories,73.52,2,7.352,154.392,2019-01-15,,147.04,7.352,4.6,False,True,False,False
286-43-6208,Giza,1,Female,Food and beverages,87.8,9,39.51,829.71,2019-03-16,,790.2,39.51,9.2,False,False,True,False
641-43-2399,Cairo,1,Male,Home and lifestyle,25.55,4,5.11,107.31,2019-01-26,,102.2,5.11,5.7,False,True,False,False
831-07-6050,Alex,1,Male,Electronic accessories,32.71,5,8.1775,171.7275,2019-03-19,,163.55,8.1775,9.9,True,False,False,True
556-86-3144,Giza,0,Female,Fashion accessories,74.29,1,3.7145,78.0045,2019-01-13,,74.29,3.7145,5.0,False,False,True,False
848-24-9445,Giza,0,Male,Health and beauty,43.7,2,4.37,91.77,2019-03-26,,87.4,4.37,4.9,False,False,True,False
856-22-8149,Alex,1,Female,Home and lifestyle,25.29,1,1.2645,26.5545,2019-03-23,,25.29,1.2645,6.1,False,True,False,True
699-01-4164,Giza,1,Male,Health and beauty,41.5,4,8.3,174.3,2019-03-12,,166.0,8.3,8.2,True,False,True,False
420-11-4919,Giza,0,Female,Food and beverages,71.39,5,17.8475,374.7975,2019-02-17,,356.95,17.8475,5.5,True,False,True,False
606-80-4905,Giza,0,Female,Sports and travel,19.15,6,5.745,120.645,2019-01-29,,114.9,5.745,6.8,True,False,True,False
542-41-0513,Cairo,0,Female,Electronic accessories,57.49,4,11.498,241.458,2019-03-15,,229.96,11.498,6.6,False,False,False,False
426-39-2418,Giza,1,Male,Electronic accessories,61.41,7,21.4935,451.3635,2019-01-14,,429.87,21.4935,9.8,False,False,True,False
875-46-5808,Cairo,0,Male,Health and beauty,25.9,10,12.95,271.95,2019-02-06,,259.0,12.95,8.7,False,True,False,False
394-43-4238,Cairo,0,Male,Home and lifestyle,17.77,5,4.4425,93.2925,2019-02-15,,88.85,4.4425,5.4,True,False,False,False
749-24-1565,Alex,1,Female,Health and beauty,23.03,9,10.3635,217.6335,2019-01-03,,207.27,10.3635,7.9,False,True,False,True
672-51-8681,Giza,0,Female,Electronic accessories,66.65,9,29.9925,629.8425,2019-01-04,,599.85,29.9925,9.7,True,False,True,False
